ExperimentKey,TransfectionDate,PlateNum,CloneKey,Odor1K,Odor2K,Odor3K,Odor4K,Odor5K,Odor1C,Odor2C,Odor3C,Odor4C,Odor5C,PlateLocation,LucData,RLData,Notes,384Location,LabNoteBook,TransfectionType,CellType
392881,11-Jan-17,1.00,999.00,77.00,894.00,,,,0.00,0.00,,,,O6,2119.00,4734.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392882,11-Jan-17,1.00,999.00,77.00,1204.00,,,,0.00,0.00,,,,P6,2788.00,4723.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392883,11-Jan-17,1.00,5855.00,811.00,811.00,,,,1.00,0.00,,,,A7,191.00,11931.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,S6 control,E Cells
392884,11-Jan-17,1.00,999.00,77.00,1109.00,,,,0.00,0.00,,,,B7,3141.00,6631.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392885,11-Jan-17,1.00,999.00,77.00,794.00,,,,0.00,0.00,,,,C7,3267.00,6794.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392886,11-Jan-17,1.00,999.00,77.00,1110.00,,,,0.00,0.00,,,,D7,2103.00,5396.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392887,11-Jan-17,1.00,999.00,77.00,795.00,,,,0.00,0.00,,,,E7,2642.00,5248.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392888,11-Jan-17,1.00,999.00,77.00,1111.00,,,,0.00,0.00,,,,F7,1803.00,5641.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392889,11-Jan-17,1.00,999.00,77.00,796.00,,,,0.00,0.00,,,,G7,1352.00,4631.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392890,11-Jan-17,1.00,999.00,77.00,1112.00,,,,0.00,0.00,,,,H7,3125.00,5965.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392891,11-Jan-17,1.00,999.00,77.00,797.00,,,,0.00,0.00,,,,I7,1498.00,5592.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392892,11-Jan-17,1.00,999.00,77.00,811.00,,,,0.00,0.00,,,,J7,2548.00,5445.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag alone,E Cells
392893,11-Jan-17,1.00,999.00,77.00,798.00,,,,0.00,0.00,,,,K7,1573.00,5095.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392894,11-Jan-17,1.00,999.00,77.00,1114.00,,,,0.00,0.00,,,,L7,2064.00,4560.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392895,11-Jan-17,1.00,999.00,77.00,799.00,,,,0.00,0.00,,,,M7,2453.00,4778.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392896,11-Jan-17,1.00,999.00,77.00,1115.00,,,,0.00,0.00,,,,N7,1843.00,4423.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392897,11-Jan-17,1.00,999.00,77.00,800.00,,,,0.00,0.00,,,,O7,2104.00,4694.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392898,11-Jan-17,1.00,999.00,77.00,1116.00,,,,0.00,0.00,,,,P7,3752.00,4484.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392899,11-Jan-17,1.00,5855.00,811.00,811.00,,,,1.00,0.00,,,,A8,230.00,11943.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,S6 control,E Cells
392900,11-Jan-17,1.00,999.00,77.00,1205.00,,,,0.00,0.00,,,,B8,3342.00,7080.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392901,11-Jan-17,1.00,999.00,77.00,896.00,,,,0.00,0.00,,,,C8,2767.00,7168.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392902,11-Jan-17,1.00,999.00,77.00,1206.00,,,,0.00,0.00,,,,D8,3558.00,6016.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392903,11-Jan-17,1.00,999.00,77.00,897.00,,,,0.00,0.00,,,,E8,2114.00,5979.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392904,11-Jan-17,1.00,999.00,77.00,1207.00,,,,0.00,0.00,,,,F8,3251.00,5621.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392905,11-Jan-17,1.00,999.00,77.00,898.00,,,,0.00,0.00,,,,G8,1590.00,4957.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392906,11-Jan-17,1.00,999.00,77.00,1208.00,,,,0.00,0.00,,,,H8,2048.00,5070.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392907,11-Jan-17,1.00,999.00,77.00,899.00,,,,0.00,0.00,,,,I8,2096.00,5292.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
392908,11-Jan-17,1.00,999.00,77.00,811.00,,,,0.00,0.00,,,,J8,2413.00,4469.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag alone,E Cells
392909,11-Jan-17,1.00,999.00,77.00,900.00,,,,0.00,0.00,,,,K8,1678.00,5078.00,Antag screen with e Cells - mini antag screen repeat to see if we can get antags to work with E Cells.,,Kamarck,antag screen,E Cells
