Plate,plateLocation,Luc,RL,cellType,CloneKey,agonistInStockKey,antagInStockKey,experimentType,concentration_ag,concentration_antag,
4,I19,1406,1025,H3A,830,817,485,antagScreen,5.00E-04,3.00E-05,
4,J19,1193,1043,H3A,830,817,6817,antagScreen,5.00E-04,3.00E-05,
4,K19,1344,978,H3A,830,817,486,antagScreen,5.00E-04,3.00E-05,
4,L19,1298,1026,H3A,830,817,678,antagScreen,5.00E-04,3.00E-05,
4,M19,1106,910,H3A,830,817,487,antagScreen,5.00E-04,3.00E-05,
4,N19,1455,1019,H3A,830,817,679,antagScreen,5.00E-04,3.00E-05,
4,O19,1435,960,H3A,830,817,488,antagScreen,5.00E-04,3.00E-05,
4,P19,1260,958,H3A,830,817,680,antagScreen,5.00E-04,3.00E-05,
4,A20,921,1592,H3A,830,811,,control,1.00E-10,,
4,B20,1443,1253,H3A,830,817,713,antagScreen,5.00E-04,3.00E-05,
4,C20,1049,1136,H3A,830,817,522,antagScreen,5.00E-04,3.00E-05,
4,D20,931,1102,H3A,830,817,714,antagScreen,5.00E-04,3.00E-05,
4,E20,939,1171,H3A,830,817,523,antagScreen,5.00E-04,3.00E-05,
4,F20,866,982,H3A,830,817,715,antagScreen,5.00E-04,3.00E-05,
4,G20,923,1082,H3A,830,817,524,antagScreen,5.00E-04,3.00E-05,
4,H20,788,915,H3A,830,817,716,antagScreen,5.00E-04,3.00E-05,
4,I20,705,866,H3A,830,817,525,antagScreen,5.00E-04,3.00E-05,
4,J20,989,979,H3A,830,817,717,antagScreen,5.00E-04,3.00E-05,
4,K20,845,895,H3A,830,817,526,antagScreen,5.00E-04,3.00E-05,
4,L20,835,934,H3A,830,817,718,antagScreen,5.00E-04,3.00E-05,
4,M20,828,797,H3A,830,817,527,antagScreen,5.00E-04,3.00E-05,
4,N20,895,864,H3A,830,817,719,antagScreen,5.00E-04,3.00E-05,
4,O20,1027,796,H3A,830,817,528,antagScreen,5.00E-04,3.00E-05,
4,P20,945,760,H3A,830,817,720,antagScreen,5.00E-04,3.00E-05,
4,A21,1141,1507,H3A,830,811,,control,1.00E-10,,
4,B21,2007,1336,H3A,830,817,625,antagScreen,5.00E-04,3.00E-05,
4,C21,1466,1315,H3A,830,817,434,antagScreen,5.00E-04,3.00E-05,
4,D21,1549,1327,H3A,830,817,626,antagScreen,5.00E-04,3.00E-05,
4,E21,1568,1224,H3A,830,817,435,antagScreen,5.00E-04,3.00E-05,
4,F21,1154,1081,H3A,830,817,627,antagScreen,5.00E-04,3.00E-05,
4,G21,1473,1245,H3A,830,817,436,antagScreen,5.00E-04,3.00E-05,
4,H21,1512,1118,H3A,830,817,628,antagScreen,5.00E-04,3.00E-05,
4,I21,1553,1121,H3A,830,817,437,antagScreen,5.00E-04,3.00E-05,
4,J21,1388,1049,H3A,830,817,629,antagScreen,5.00E-04,3.00E-05,
4,K21,1595,1119,H3A,830,817,438,antagScreen,5.00E-04,3.00E-05,
4,L21,1401,944,H3A,830,817,630,antagScreen,5.00E-04,3.00E-05,
4,M21,1705,1009,H3A,830,817,439,antagScreen,5.00E-04,3.00E-05,
4,N21,1619,1007,H3A,830,817,631,antagScreen,5.00E-04,3.00E-05,
4,O21,1472,877,H3A,830,817,440,antagScreen,5.00E-04,3.00E-05,
4,P21,1588,1069,H3A,830,817,632,antagScreen,5.00E-04,3.00E-05,
4,A22,1301,1201,H3A,830,811,265,control,1.00E-10,3.00E-05,
