ExperimentKey,TransfectionDate,PlateNum,CloneKey,Odor1K,Odor2K,Odor3K,Odor4K,Odor5K,Odor1C,Odor2C,Odor3C,Odor4C,Odor5C,PlateLocation,LucData,RLData,Notes,384Location,LabNoteBook,TransfectionType,CellType
394777,26-Jan-17,1,999,77,0,,,,0.00,0,,,,G5,4525,1499,"Testing 384 well plate for plate effects; cells were plated normally (top to bottom), but plate was read using different settings on the plate reader (plate type == corning384 flatwell instead of standard384",,Kamarck,antag alone,E Cells
394778,26-Jan-17,1,999,77,0,,,,0.00,0,,,,H5,4635,1332,"Testing 384 well plate for plate effects; cells were plated normally (top to bottom), but plate was read using different settings on the plate reader (plate type == corning384 flatwell instead of standard384",,Kamarck,antag alone,E Cells
394779,26-Jan-17,1,999,77,0,,,,0.00,0,,,,I5,4775,1433,"Testing 384 well plate for plate effects; cells were plated normally (top to bottom), but plate was read using different settings on the plate reader (plate type == corning384 flatwell instead of standard384",,Kamarck,antag alone,E Cells
394780,26-Jan-17,1,999,77,0,,,,0.00,0,,,,J5,4416,1191,"Testing 384 well plate for plate effects; cells were plated normally (top to bottom), but plate was read using different settings on the plate reader (plate type == corning384 flatwell instead of standard384",,Kamarck,antag alone,E Cells
394781,26-Jan-17,1,999,77,0,,,,0.00,0,,,,K5,4579,1371,"Testing 384 well plate for plate effects; cells were plated normally (top to bottom), but plate was read using different settings on the plate reader (plate type == corning384 flatwell instead of standard384",,Kamarck,antag alone,E Cells
394782,26-Jan-17,1,999,77,0,,,,0.00,0,,,,L5,3917,1410,"Testing 384 well plate for plate effects; cells were plated normally (top to bottom), but plate was read using different settings on the plate reader (plate type == corning384 flatwell instead of standard384",,Kamarck,antag alone,E Cells
394783,26-Jan-17,1,999,77,0,,,,0.00,0,,,,M5,4513,1281,"Testing 384 well plate for plate effects; cells were plated normally (top to bottom), but plate was read using different settings on the plate reader (plate type == corning384 flatwell instead of standard384",,Kamarck,antag alone,E Cells
394784,26-Jan-17,1,999,77,0,,,,0.00,0,,,,N5,5504,1271,"Testing 384 well plate for plate effects; cells were plated normally (top to bottom), but plate was read using different settings on the plate reader (plate type == corning384 flatwell instead of standard384",,Kamarck,antag alone,E Cells
394785,26-Jan-17,1,999,77,0,,,,0.00,0,,,,O5,5335,1312,"Testing 384 well plate for plate effects; cells were plated normally (top to bottom), but plate was read using different settings on the plate reader (plate type == corning384 flatwell instead of standard384",,Kamarck,antag alone,E Cells
394786,26-Jan-17,1,999,77,0,,,,0.00,0,,,,P5,4470,1257,"Testing 384 well plate for plate effects; cells were plated normally (top to bottom), but plate was read using different settings on the plate reader (plate type == corning384 flatwell instead of standard384",,Kamarck,antag alone,E Cells
394787,26-Jan-17,1,999,77,0,,,,0.00,0,,,,A6,4748,1990,"Testing 384 well plate for plate effects; cells were plated normally (top to bottom), but plate was read using different settings on the plate reader (plate type == corning384 flatwell instead of standard384",,Kamarck,antag alone,E Cells
394788,26-Jan-17,1,999,77,0,,,,0.00,0,,,,B6,5009,1765,"Testing 384 well plate for plate effects; cells were plated normally (top to bottom), but plate was read using different settings on the plate reader (plate type == corning384 flatwell instead of standard384",,Kamarck,antag alone,E Cells
394789,26-Jan-17,1,999,77,0,,,,0.00,0,,,,C6,5364,1889,"Testing 384 well plate for plate effects; cells were plated normally (top to bottom), but plate was read using different settings on the plate reader (plate type == corning384 flatwell instead of standard384",,Kamarck,antag alone,E Cells
394790,26-Jan-17,1,999,77,0,,,,0.00,0,,,,D6,5089,1741,"Testing 384 well plate for plate effects; cells were plated normally (top to bottom), but plate was read using different settings on the plate reader (plate type == corning384 flatwell instead of standard384",,Kamarck,antag alone,E Cells
394791,26-Jan-17,1,999,77,0,,,,0.00,0,,,,E6,4373,1509,"Testing 384 well plate for plate effects; cells were plated normally (top to bottom), but plate was read using different settings on the plate reader (plate type == corning384 flatwell instead of standard384",,Kamarck,antag alone,E Cells
394792,26-Jan-17,1,999,77,0,,,,0.00,0,,,,F6,4876,1452,"Testing 384 well plate for plate effects; cells were plated normally (top to bottom), but plate was read using different settings on the plate reader (plate type == corning384 flatwell instead of standard384",,Kamarck,antag alone,E Cells
394793,26-Jan-17,1,999,77,0,,,,0.00,0,,,,G6,4042,1543,"Testing 384 well plate for plate effects; cells were plated normally (top to bottom), but plate was read using different settings on the plate reader (plate type == corning384 flatwell instead of standard384",,Kamarck,antag alone,E Cells
